user_id,age,gender,country,education,job_title,years_experience
103,25-29,Man,I do not wish to disclose my location,Bachelor’s degree,Data Scientist,1-3 years
104,40-44,Woman,United States of America,Master’s degree,Other,5-10 years
105,35-39,Man,France,Doctoral degree,Software Engineer,10-20 years
106,30-34,Man,India,Master’s degree,Data Analyst,1-3 years
107,55-59,Man,United States of America,Master’s degree,Data Scientist,20+ years
108,40-44,Man,Israel,Bachelor’s degree,Data Analyst,< 1 years
109,22-24,Man,India,Bachelor’s degree,Data Analyst,1-3 years
110,18-21,Man,Nigeria,Bachelor’s degree,Student,3-5 years
111,22-24,Woman,Sweden,Master’s degree,Student,< 1 years
112,45-49,Man,Poland,Master’s degree,Other,1-3 years
113,30-34,Woman,Canada,I prefer not to answer,Currently not employed,< 1 years
114,18-21,Man,Other,Bachelor’s degree,Other,1-3 years
115,60-69,Man,India,Doctoral degree,Program/Project Manager,5-10 years
116,25-29,Man,Bangladesh,Bachelor’s degree,Other,3-5 years
117,40-44,Man,Indonesia,Master’s degree,Currently not employed,20+ years
118,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
119,35-39,Man,Colombia,Master’s degree,Data Engineer,10-20 years
120,18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Data Engineer,3-5 years
121,70+,Man,United States of America,Master’s degree,Other,3-5 years
122,40-44,Man,India,Master’s degree,Program/Project Manager,10-20 years
123,30-34,Man,Poland,Master’s degree,Data Scientist,20+ years
124,60-69,Man,India,Master’s degree,Other,1-3 years
125,25-29,Man,Egypt,Bachelor’s degree,Student,1-3 years
126,40-44,Man,France,Doctoral degree,Research Scientist,5-10 years
127,40-44,Woman,Other,Doctoral degree,Data Scientist,5-10 years
128,22-24,Man,Other,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 years
129,30-34,Man,Sweden,Doctoral degree,Research Scientist,5-10 years
130,45-49,Man,Chile,Master’s degree,Data Scientist,3-5 years
131,18-21,Man,Egypt,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,1-3 years
132,25-29,Man,Netherlands,Master’s degree,Currently not employed,5-10 years
133,35-39,Man,Ukraine,Doctoral degree,Currently not employed,< 1 years
134,25-29,Man,Other,Master’s degree,Software Engineer,10-20 years
135,30-34,Woman,Indonesia,Master’s degree,Data Engineer,5-10 years
136,18-21,Woman,Turkey,Master’s degree,Student,1-3 years
137,18-21,Man,India,Bachelor’s degree,Student,1-3 years
138,25-29,Woman,India,Bachelor’s degree,Data Engineer,1-3 years
139,40-44,Man,Saudi Arabia,Bachelor’s degree,Machine Learning Engineer,10-20 years
140,18-21,Man,Russia,Some college/university study without earning a bachelor’s degree,Student,3-5 years
141,25-29,Man,India,Master’s degree,Data Scientist,< 1 years
142,30-34,Man,Colombia,I prefer not to answer,Data Analyst,< 1 years
143,25-29,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Student,< 1 years
144,35-39,Man,South Africa,Master’s degree,Data Engineer,10-20 years
145,18-21,Man,India,Bachelor’s degree,Student,< 1 years
146,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Engineer,10-20 years
147,22-24,Man,United States of America,Master’s degree,Student,5-10 years
148,30-34,Woman,Russia,Bachelor’s degree,Student,< 1 years
149,25-29,Man,Other,Bachelor’s degree,Student,< 1 years
150,70+,Woman,United States of America,Master’s degree,Data Analyst,20+ years
151,22-24,Woman,India,I prefer not to answer,Student,5-10 years
152,18-21,Man,Romania,Bachelor’s degree,Student,3-5 years
153,22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years
154,18-21,Woman,Egypt,Bachelor’s degree,Student,< 1 years
155,30-34,Man,South Africa,Bachelor’s degree,Product Manager,10-20 years
156,22-24,Woman,India,Bachelor’s degree,Student,3-5 years
157,22-24,Man,India,Bachelor’s degree,Data Engineer,5-10 years
158,30-34,Man,Singapore,Master’s degree,Data Scientist,5-10 years
159,22-24,Woman,India,Master’s degree,Student,3-5 years
160,50-54,Man,Other,Master’s degree,Data Scientist,20+ years
161,60-69,Man,Argentina,Doctoral degree,Data Scientist,20+ years
162,30-34,Man,Spain,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 years
163,22-24,Woman,Morocco,Master’s degree,Machine Learning Engineer,1-3 years
164,50-54,Man,Other,Bachelor’s degree,Software Engineer,10-20 years
165,25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Program/Project Manager,3-5 years
166,22-24,Man,United States of America,Bachelor’s degree,Currently not employed,1-3 years
167,45-49,Man,Austria,Master’s degree,Business Analyst,5-10 years
168,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,1-3 years
169,35-39,Man,Singapore,Master’s degree,Data Scientist,5-10 years
170,60-69,Man,United States of America,Master’s degree,Product Manager,20+ years
171,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years
172,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years
173,40-44,Man,Turkey,I prefer not to answer,Other,1-3 years
174,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years
175,40-44,Woman,Bangladesh,Master’s degree,Currently not employed,5-10 years
176,30-34,Man,Turkey,Doctoral degree,Statistician,1-3 years
177,35-39,Man,Japan,Bachelor’s degree,Other,10-20 years
178,22-24,Woman,Taiwan,Master’s degree,Currently not employed,1-3 years
179,25-29,Man,India,Master’s degree,Currently not employed,1-3 years
180,22-24,Man,Kenya,Bachelor’s degree,Program/Project Manager,5-10 years
181,18-21,Man,India,Bachelor’s degree,Student,1-3 years
182,22-24,Woman,Tunisia,Master’s degree,Student,< 1 years
183,35-39,Man,Brazil,Doctoral degree,Research Scientist,1-3 years
184,30-34,Man,United States of America,Master’s degree,Data Scientist,10-20 years
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,3-5 years
186,35-39,Man,Egypt,Bachelor’s degree,Other,5-10 years
187,60-69,Man,Canada,Master’s degree,Program/Project Manager,3-5 years
188,30-34,Man,India,Bachelor’s degree,Other,5-10 years
189,30-34,Man,United States of America,Master’s degree,Business Analyst,I have never written code
190,40-44,Man,Japan,Bachelor’s degree,Business Analyst,I have never written code
191,55-59,Man,United States of America,Master’s degree,Data Scientist,20+ years
192,18-21,Man,India,Bachelor’s degree,Student,1-3 years
193,30-34,Woman,Sweden,Doctoral degree,Data Scientist,5-10 years
194,40-44,Man,Australia,Master’s degree,Software Engineer,20+ years
195,35-39,Man,Nigeria,Bachelor’s degree,Research Scientist,1-3 years
196,22-24,Woman,Turkey,Bachelor’s degree,Data Scientist,1-3 years
197,40-44,Man,Russia,Bachelor’s degree,Business Analyst,1-3 years
198,25-29,Man,Other,Bachelor’s degree,Data Engineer,1-3 years
199,25-29,Man,Egypt,Doctoral degree,Research Scientist,3-5 years
200,30-34,Man,Russia,Bachelor’s degree,Software Engineer,5-10 years
201,30-34,Man,India,Master’s degree,Data Scientist,10-20 years
202,22-24,Man,India,Bachelor’s degree,Student,1-3 years
203,30-34,Man,United States of America,Some college/university study without earning a bachelor’s degree,Other,< 1 years
204,22-24,Man,India,Master’s degree,Software Engineer,5-10 years
205,30-34,Man,United States of America,Master’s degree,Data Scientist,1-3 years
206,18-21,Man,Belarus,No formal education past high school,Student,< 1 years
207,22-24,Man,France,Master’s degree,Data Scientist,3-5 years
208,18-21,Man,India,Bachelor’s degree,Student,1-3 years
209,45-49,Man,South Africa,Bachelor’s degree,Currently not employed,3-5 years
210,35-39,Man,Egypt,Master’s degree,Student,10-20 years
211,30-34,Nonbinary,Mexico,Doctoral degree,Student,5-10 years
212,55-59,Man,Brazil,Some college/university study without earning a bachelor’s degree,Other,20+ years
213,18-21,Woman,India,Bachelor’s degree,Student,< 1 years
214,18-21,Man,India,Bachelor’s degree,Student,1-3 years
215,35-39,Woman,Ireland,Doctoral degree,Statistician,10-20 years
216,30-34,Man,Colombia,Master’s degree,Machine Learning Engineer,3-5 years
217,18-21,Prefer not to say,India,Bachelor’s degree,Student,1-3 years
218,30-34,Man,India,Doctoral degree,Machine Learning Engineer,5-10 years
219,18-21,Woman,India,Master’s degree,Student,1-3 years
220,30-34,Man,India,Bachelor’s degree,Data Analyst,1-3 years
221,60-69,Man,United States of America,Master’s degree,Student,10-20 years
222,35-39,Man,Argentina,Master’s degree,Program/Project Manager,5-10 years
223,70+,Man,Australia,Master’s degree,Other,20+ years
224,18-21,Man,Australia,Bachelor’s degree,Data Scientist,< 1 years
225,45-49,Man,Portugal,No formal education past high school,Other,< 1 years
226,18-21,Man,Other,Master’s degree,Software Engineer,3-5 years
227,25-29,Woman,Hong Kong (S.A.R.),Doctoral degree,Data Scientist,5-10 years
228,25-29,Man,Japan,No formal education past high school,Machine Learning Engineer,5-10 years
229,25-29,Man,India,Bachelor’s degree,Data Scientist,< 1 years
230,22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years
231,22-24,Man,China,Master’s degree,Data Scientist,1-3 years
232,55-59,Woman,Israel,Master’s degree,Currently not employed,5-10 years
233,25-29,Man,Nigeria,Master’s degree,Research Scientist,3-5 years
234,50-54,Man,Austria,No formal education past high school,Software Engineer,20+ years
235,22-24,Man,India,Bachelor’s degree,Student,< 1 years
236,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
237,45-49,Man,Sweden,Master’s degree,Software Engineer,20+ years
238,25-29,Man,United States of America,Bachelor’s degree,Student,1-3 years
239,50-54,Man,Japan,Master’s degree,Software Engineer,20+ years
240,30-34,Man,United States of America,Master’s degree,Student,1-3 years
241,30-34,Woman,India,Master’s degree,Currently not employed,< 1 years
242,40-44,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years
243,18-21,Man,Mexico,Bachelor’s degree,Student,1-3 years
244,35-39,Man,France,Master’s degree,Data Scientist,< 1 years
245,18-21,Woman,India,Bachelor’s degree,Student,< 1 years
246,25-29,Man,Spain,Master’s degree,Machine Learning Engineer,5-10 years
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,3-5 years
248,25-29,Man,India,Bachelor’s degree,Research Scientist,< 1 years
249,35-39,Woman,India,Master’s degree,Currently not employed,5-10 years
250,30-34,Woman,Brazil,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years
251,22-24,Man,United States of America,Master’s degree,Other,3-5 years
252,35-39,Woman,India,Doctoral degree,Research Scientist,1-3 years
253,55-59,Woman,Brazil,Master’s degree,Business Analyst,1-3 years
254,40-44,Man,United States of America,Master’s degree,Software Engineer,10-20 years
255,30-34,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years
256,22-24,Man,India,Master’s degree,Student,1-3 years
257,25-29,Woman,Pakistan,Master’s degree,Data Analyst,< 1 years
258,60-69,Man,United States of America,Master’s degree,Software Engineer,20+ years
259,50-54,Man,United States of America,Master’s degree,Currently not employed,20+ years
260,35-39,Man,Indonesia,No formal education past high school,Data Scientist,I have never written code
261,30-34,Man,China,Master’s degree,Machine Learning Engineer,1-3 years
262,30-34,Man,Denmark,Doctoral degree,Data Scientist,10-20 years
263,25-29,Woman,India,Bachelor’s degree,Data Analyst,< 1 years
264,35-39,Man,Australia,Master’s degree,Currently not employed,5-10 years
265,35-39,Woman,Other,Master’s degree,Data Analyst,10-20 years
266,45-49,Prefer not to say,Brazil,Bachelor’s degree,Research Scientist,10-20 years
267,18-21,Man,India,Master’s degree,Student,1-3 years
268,22-24,Man,Other,Bachelor’s degree,Currently not employed,5-10 years
269,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,3-5 years
270,25-29,Woman,India,Master’s degree,Data Analyst,1-3 years
271,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,1-3 years
272,25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years
273,45-49,Man,Germany,Master’s degree,Program/Project Manager,10-20 years
274,25-29,Man,Kenya,Bachelor’s degree,Software Engineer,5-10 years
275,22-24,Man,South Korea,Bachelor’s degree,Other,1-3 years
276,22-24,Man,India,Master’s degree,Currently not employed,3-5 years
277,22-24,Man,Bangladesh,Bachelor’s degree,Student,1-3 years
278,25-29,Woman,Philippines,Bachelor’s degree,Currently not employed,< 1 years
279,22-24,Man,India,Master’s degree,Student,< 1 years
280,35-39,Man,Turkey,Master’s degree,Software Engineer,< 1 years
281,18-21,Woman,India,Master’s degree,Student,< 1 years
282,40-44,Man,Canada,Master’s degree,Data Analyst,< 1 years
283,50-54,Man,United States of America,Bachelor’s degree,Software Engineer,20+ years
284,30-34,Man,Nigeria,Master’s degree,Data Analyst,1-3 years
285,45-49,Woman,Singapore,Master’s degree,Research Scientist,10-20 years
286,22-24,Man,United States of America,Master’s degree,Student,3-5 years
287,35-39,Woman,United States of America,Master’s degree,Data Scientist,10-20 years
288,25-29,Man,India,Master’s degree,Student,3-5 years
289,35-39,Man,Russia,Bachelor’s degree,Other,< 1 years
290,22-24,Woman,India,Master’s degree,Research Scientist,I have never written code
291,18-21,Woman,Indonesia,Bachelor’s degree,Student,1-3 years
292,22-24,Man,India,Bachelor’s degree,Business Analyst,1-3 years
293,18-21,Man,India,Bachelor’s degree,Student,1-3 years
294,22-24,Man,China,Doctoral degree,Program/Project Manager,1-3 years
295,45-49,Man,Other,Master’s degree,Business Analyst,< 1 years
296,30-34,Woman,United States of America,Master’s degree,Data Engineer,I have never written code
297,50-54,Man,Russia,No formal education past high school,Currently not employed,1-3 years
298,40-44,Man,Mexico,Master’s degree,Business Analyst,20+ years
299,50-54,Man,United Kingdom of Great Britain and Northern Ireland,No formal education past high school,Developer Relations/Advocacy,10-20 years
300,30-34,Woman,India,Master’s degree,Research Scientist,3-5 years
301,25-29,Prefer not to say,Germany,Doctoral degree,Research Scientist,3-5 years
302,22-24,Woman,Nigeria,Master’s degree,Student,1-3 years
303,25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 years
304,25-29,Woman,Nigeria,Bachelor’s degree,Student,< 1 years
305,45-49,Man,India,Master’s degree,Statistician,20+ years
306,30-34,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Machine Learning Engineer,10-20 years
307,30-34,Nonbinary,Kenya,Bachelor’s degree,Machine Learning Engineer,5-10 years
308,25-29,Woman,Sri Lanka,Master’s degree,Student,I have never written code
309,35-39,Woman,Tunisia,Doctoral degree,Data Analyst,3-5 years
310,60-69,Man,Chile,Master’s degree,Other,20+ years
311,22-24,Man,China,Bachelor’s degree,Data Analyst,1-3 years
312,18-21,Woman,Bangladesh,Bachelor’s degree,Machine Learning Engineer,< 1 years
313,60-69,Man,United States of America,Bachelor’s degree,Software Engineer,10-20 years
314,25-29,Man,India,Master’s degree,Data Scientist,3-5 years
315,40-44,Man,Other,Doctoral degree,Student,5-10 years
316,35-39,Woman,India,Master’s degree,Currently not employed,5-10 years
317,22-24,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,1-3 years
318,18-21,Man,Indonesia,Some college/university study without earning a bachelor’s degree,Student,1-3 years
319,25-29,Woman,India,Master’s degree,Currently not employed,1-3 years
320,18-21,Man,India,Bachelor’s degree,Student,1-3 years
321,25-29,Man,India,Master’s degree,Data Engineer,1-3 years
322,40-44,Man,Japan,Master’s degree,Other,10-20 years
323,35-39,Man,India,Bachelor’s degree,Currently not employed,5-10 years
324,40-44,Man,Japan,Bachelor’s degree,Data Scientist,< 1 years
325,25-29,Man,France,Master’s degree,Data Scientist,1-3 years
326,30-34,Woman,United Arab Emirates,Master’s degree,Currently not employed,1-3 years
327,35-39,Man,Nigeria,Master’s degree,Software Engineer,1-3 years
328,22-24,Man,India,Bachelor’s degree,Other,1-3 years
329,35-39,Man,Sweden,Doctoral degree,Research Scientist,5-10 years
330,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years
331,25-29,Woman,United States of America,Master’s degree,Student,< 1 years
332,40-44,Man,France,Doctoral degree,Data Scientist,10-20 years
333,22-24,Man,Uganda,Bachelor’s degree,Currently not employed,< 1 years
334,25-29,Man,India,Bachelor’s degree,Data Scientist,1-3 years
335,35-39,Man,South Africa,Master’s degree,Data Scientist,5-10 years
336,45-49,Man,Russia,Master’s degree,Product Manager,3-5 years
337,35-39,Man,Spain,Doctoral degree,Research Scientist,5-10 years
338,25-29,Man,Sri Lanka,Master’s degree,Data Scientist,5-10 years
339,40-44,Man,Saudi Arabia,Master’s degree,Other,3-5 years
340,25-29,Woman,Italy,Master’s degree,Data Analyst,1-3 years
341,18-21,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 years
342,70+,Man,United States of America,Master’s degree,Currently not employed,20+ years
343,50-54,Man,Portugal,Doctoral degree,Research Scientist,10-20 years
344,18-21,Man,India,Some college/university study without earning a bachelor’s degree,Student,1-3 years
345,30-34,Man,India,Master’s degree,Data Scientist,< 1 years
346,55-59,Man,Netherlands,Doctoral degree,Data Scientist,20+ years
347,35-39,Man,Brazil,Bachelor’s degree,Data Scientist,5-10 years
348,18-21,Woman,India,Bachelor’s degree,Student,< 1 years
349,18-21,Man,Ireland,Some college/university study without earning a bachelor’s degree,Currently not employed,3-5 years
350,18-21,Man,India,Bachelor’s degree,Student,1-3 years
351,25-29,Man,India,Master’s degree,Data Scientist,3-5 years
352,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,3-5 years
353,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years
354,30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years
355,30-34,Man,Ghana,Master’s degree,Software Engineer,5-10 years
356,40-44,Man,India,Master’s degree,Data Engineer,5-10 years
357,35-39,Man,India,Doctoral degree,Software Engineer,1-3 years
358,25-29,Man,India,Bachelor’s degree,Currently not employed,< 1 years
359,22-24,Man,Egypt,Master’s degree,Data Scientist,< 1 years
360,25-29,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,I have never written code
361,22-24,Man,Poland,Master’s degree,Business Analyst,< 1 years
362,55-59,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Currently not employed,1-3 years
363,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,5-10 years
364,18-21,Man,Viet Nam,Bachelor’s degree,Student,1-3 years
365,25-29,Woman,Egypt,Bachelor’s degree,Other,< 1 years
366,18-21,Woman,Other,Master’s degree,Student,1-3 years
367,25-29,Man,India,Bachelor’s degree,Other,I have never written code
368,25-29,Man,Canada,Bachelor’s degree,Other,< 1 years
369,35-39,Man,Kenya,Bachelor’s degree,Currently not employed,< 1 years
370,18-21,Man,India,Bachelor’s degree,DBA/Database Engineer,1-3 years
371,25-29,Man,Mexico,Master’s degree,Data Scientist,3-5 years
372,50-54,Man,South Korea,Master’s degree,Program/Project Manager,20+ years
373,35-39,Man,Nigeria,Bachelor’s degree,DBA/Database Engineer,5-10 years
374,45-49,Man,France,Master’s degree,Currently not employed,5-10 years
375,25-29,Woman,India,Bachelor’s degree,Data Analyst,3-5 years
376,60-69,Man,India,Master’s degree,Software Engineer,10-20 years
377,25-29,Man,Taiwan,Master’s degree,Currently not employed,1-3 years
378,60-69,Man,India,Bachelor’s degree,Program/Project Manager,5-10 years
379,22-24,Man,Nigeria,Bachelor’s degree,Data Engineer,1-3 years
380,25-29,Man,Malaysia,Doctoral degree,Data Scientist,1-3 years
381,22-24,Man,Taiwan,Master’s degree,Student,3-5 years
382,25-29,Woman,Thailand,Bachelor’s degree,Other,I have never written code
383,18-21,Woman,Colombia,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 years
384,35-39,Man,Other,Bachelor’s degree,Student,< 1 years
385,18-21,Man,India,Bachelor’s degree,Student,1-3 years
386,45-49,Man,Japan,Master’s degree,Other,10-20 years
387,25-29,Woman,Spain,Master’s degree,Software Engineer,1-3 years
388,18-21,Prefer not to say,India,Bachelor’s degree,Student,1-3 years
389,40-44,Man,Australia,Master’s degree,Data Engineer,10-20 years
390,25-29,Man,Germany,Master’s degree,Student,3-5 years
391,50-54,Man,Israel,Master’s degree,Product Manager,20+ years
392,25-29,Man,Brazil,Bachelor’s degree,Data Scientist,3-5 years
393,35-39,Man,United States of America,Master’s degree,Data Scientist,10-20 years
394,50-54,Woman,United States of America,Professional doctorate,Data Scientist,1-3 years
395,18-21,Man,Indonesia,Master’s degree,Research Scientist,< 1 years
396,50-54,Man,Spain,Bachelor’s degree,Data Analyst,1-3 years
397,50-54,Man,United States of America,Bachelor’s degree,Product Manager,20+ years
398,18-21,Man,Singapore,Some college/university study without earning a bachelor’s degree,Student,< 1 years
399,35-39,Man,Greece,Doctoral degree,Data Scientist,10-20 years
400,18-21,Man,India,Bachelor’s degree,Student,1-3 years
401,40-44,Man,Ukraine,Master’s degree,Software Engineer,20+ years
